연번,업종명,인허가일자,업소명,소재지,소재지(지번),영업자시작일,업태명,급수시설,영업상태,데이터기준일
2699,일반음식점,2016-01-19,푸줏간생뒷고기,"경상남도 거제시 서문로 65-1, 주2동 1층 101호 (고현동)",경상남도 거제시 고현동 978-14 주2동 101호,2020-06-12,식육(숯불구이),상수도전용,운영중,2021-03-04
2700,일반음식점,2016-01-19,싱싱포차,"경상남도 거제시 거제중앙로 1763, 1층 (상동동)",,2016-01-19,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2701,일반음식점,2016-01-19,거제국밥,"경상남도 거제시 남부면 거제대로 197, 1층",경상남도 거제시 남부면 다대리 408 ,2016-01-19,한식,상수도전용,운영중,2021-03-04
2702,일반음식점,2016-01-20,처갓집양념치킨 문동점,"경상남도 거제시 거제중앙로 1537, 주2동 1층 (문동동)",경상남도 거제시 문동동 609-3 ,2019-11-11,호프/통닭,상수도전용,운영중,2021-03-04
2703,일반음식점,2016-01-20,풀자,경상남도 거제시 중곡2로2길 5-1 (고현동),경상남도 거제시 고현동 991-16 호정빌 101호,2020-12-09,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2704,일반음식점,2016-01-22,주주포차,"경상남도 거제시 서문로 65-1, 주2동 1층 105호 (고현동)",경상남도 거제시 고현동 978-14 주2동 105호,2020-08-10,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2705,일반음식점,2016-01-26,대명숯불갈비 2호점,"경상남도 거제시 일운면 소동6길 17-2, 2층",경상남도 거제시 일운면 소동리 102-2 ,2019-12-10,식육(숯불구이),상수도전용,운영중,2021-03-04
2706,일반음식점,2016-01-26,새마을포차,"경상남도 거제시 아주1로1길 9, 1층 (아주동)",경상남도 거제시 아주동 1701-5 ,2018-03-27,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2707,일반음식점,2016-01-26,창녕민물횟집,경상남도 거제시 중곡1로 94 (고현동),경상남도 거제시 고현동 987-23 ,2018-04-17,한식,상수도전용,운영중,2021-03-04
2708,일반음식점,2016-01-27,해물촌,"경상남도 거제시 서문로 65-1, 주2동 104호 (고현동)",경상남도 거제시 고현동 978-14 2동 104호,2016-01-27,한식,상수도전용,운영중,2021-03-04
2709,일반음식점,2016-01-28,칠원추어탕,"경상남도 거제시 거제면 거제남서로 3424, 1층",경상남도 거제시 거제면 남동리 151 ,2016-01-28,한식,상수도전용,운영중,2021-03-04
2710,일반음식점,2016-02-01,조선에서왔소&해물포차,"경상남도 거제시 장평1로3길 13, 1층 (장평동)",경상남도 거제시 장평동 1195-33 ,2018-01-12,한식,상수도전용,운영중,2021-03-04
2711,일반음식점,2016-02-01,거제점방(고현점),"경상남도 거제시 거제중앙로29길 6-1, 1층 (고현동)",경상남도 거제시 고현동 971-6 ,2021-02-15,기타,상수도전용,운영중,2021-03-04
2712,일반음식점,2016-02-02,육사시미육회,"경상남도 거제시 서문로 65-1, 나동 102호 (고현동)",경상남도 거제시 고현동 978-14 ,2019-01-16,한식,상수도전용,운영중,2021-03-04
2713,일반음식점,2016-02-12,굽네치킨 사등점,"경상남도 거제시 사등면 두동로 44, 1층",경상남도 거제시 사등면 사곡리 산 57-2 ,2016-02-12,호프/통닭,상수도전용,운영중,2021-03-04
2714,일반음식점,2016-02-15,반성장터국밥,경상남도 거제시 장평1로9길 21-5 (장평동),경상남도 거제시 장평동 368-30 ,2016-02-15,한식,상수도전용,운영중,2021-03-04
2715,일반음식점,2016-02-15,루팡1874,"경상남도 거제시 아주1로2길 25, 2층 201호 (아주동, 가야빌딩)",경상남도 거제시 아주동 1690-2 ,2017-07-12,호프/통닭,상수도전용,운영중,2021-03-04
2716,일반음식점,2016-02-15,자연갈비거제아주점,경상남도 거제시 아주1로 46 (아주동),경상남도 거제시 아주동 1688-14 ,2019-12-17,식육(숯불구이),상수도전용,운영중,2021-03-04
2717,일반음식점,2016-02-16,조선38육개장 옥포점,"경상남도 거제시 옥포성안로 34, 1층 (옥포동)",경상남도 거제시 옥포동 554-26 ,2018-04-12,식육(숯불구이),상수도전용,운영중,2021-03-04
2718,일반음식점,2016-02-17,누구나홀딱반한닭(아주점),"경상남도 거제시 아주1로 46, 1층 (아주동)",경상남도 거제시 아주동 1688-14 ,2020-05-07,호프/통닭,상수도전용,운영중,2021-03-04
2719,일반음식점,2016-02-18,꾸바꾸바 고현점,"경상남도 거제시 거제중앙로9길 19, 1층 101호 (고현동)",경상남도 거제시 고현동 453-2 101호,2016-02-18,호프/통닭,상수도전용,운영중,2021-03-04
2720,일반음식점,2016-02-19,호식이두마리치킨(경남 거제점),경상남도 거제시 거제면 기성로6길 8,경상남도 거제시 거제면 서상리 318-10 ,2018-08-23,호프/통닭,상수도전용,운영중,2021-03-04
2721,일반음식점,2016-02-25,6번가,"경상남도 거제시 서문로 65-1, 주2동 106호 (고현동)",경상남도 거제시 고현동 978-14 ,2017-05-15,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2722,일반음식점,2016-02-26,연남물갈비,"경상남도 거제시 아주1로 46, 1층 (아주동)",경상남도 거제시 아주동 1688-14 ,2018-08-16,식육(숯불구이),상수도전용,운영중,2021-03-04
2723,일반음식점,2016-03-03,더꽃(The꽃),"경상남도 거제시 아주로 24, 1층 (아주동)",경상남도 거제시 아주동 1699-12 ,2016-11-16,한식,상수도전용,운영중,2021-03-04
2724,일반음식점,2016-03-03,매콤얼큰이,"경상남도 거제시 옥포로 250, 123호 (옥포동, 옥현시장)",경상남도 거제시 옥포동 1293-1 옥현시장 123호,2016-03-03,식육(숯불구이),상수도전용,운영중,2021-03-04
2725,일반음식점,2016-03-03,통통대패삼겹살,"경상남도 거제시 중곡로1길 34, 1층 (고현동)",경상남도 거제시 고현동 1010-3 ,2020-08-14,식육(숯불구이),상수도전용,운영중,2021-03-04
2726,일반음식점,2016-03-04,임꺽정제주오겹,경상남도 거제시 거제중앙로 1763 (상동동),경상남도 거제시 상동동 442-2 ,2020-10-29,식육(숯불구이),상수도전용,운영중,2021-03-04
2727,일반음식점,2016-03-04,돈치킨,"경상남도 거제시 아주1로 9, 1층 (아주동)",경상남도 거제시 아주동 1700-9 ,2019-10-10,식육(숯불구이),상수도전용,운영중,2021-03-04
2728,일반음식점,2016-03-08,구포냉국수,"경상남도 거제시 연초면 연하해안로 846, 1층",경상남도 거제시 연초면 한내리 626-8 ,2016-03-08,분식,상수도전용,운영중,2021-03-04
2729,일반음식점,2016-03-08,서울감자탕,경상남도 거제시 두모길 21 (두모동),경상남도 거제시 두모동 467-3 ,2019-12-17,한식,상수도전용,운영중,2021-03-04
2730,일반음식점,2016-03-11,아서원,"경상남도 거제시 사등면 거제대로 5291, 1층",경상남도 거제시 사등면 사곡리 898-4 ,2019-06-24,중국식,상수도전용,운영중,2021-03-04
2731,일반음식점,2016-03-11,카페드롬,"경상남도 거제시 일운면 거제대로 2308, 지하1층",경상남도 거제시 일운면 와현리 544-5 ,2016-03-11,패밀리레스트랑,상수도전용,운영중,2021-03-04
2732,일반음식점,2016-03-14,카페쥬,"경상남도 거제시 장목면 거제북로 1205-1, 2층",경상남도 거제시 장목면 장목리 320-14 ,2018-01-11,기타,상수도전용,운영중,2021-03-04
2733,일반음식점,2016-03-14,처갓집양념치킨 사곡점,"경상남도 거제시 사등면 두동로 28-7, 1층",경상남도 거제시 사등면 사곡리 871-2 ,2017-11-28,호프/통닭,상수도전용,운영중,2021-03-04
2734,일반음식점,2016-03-14,Roof top(루프탑),"경상남도 거제시 장평로10길 5, 6층 (장평동)",경상남도 거제시 장평동 313-6 ,2017-06-02,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2735,일반음식점,2016-03-15,지모스트(G.MOST),"경상남도 거제시 고현로11길 20, B01호 (고현동, 엠파크)",경상남도 거제시 고현동 961-57 ,2016-03-15,한식,상수도전용,운영중,2021-03-04
2736,일반음식점,2016-03-16,오덕가든,"경상남도 거제시 사등면 지석2길 60-10, 1층",경상남도 거제시 사등면 지석리 1227-3 ,2016-03-16,식육(숯불구이),상수도전용,운영중,2021-03-04
2737,일반음식점,2016-03-21,토지,"경상남도 거제시 거제중앙로19길 6, 2층 (고현동)",경상남도 거제시 고현동 98-1 ,2016-03-21,한식,상수도전용,운영중,2021-03-04
2738,일반음식점,2016-03-21,성포회식당,"경상남도 거제시 사등면 성포로3길 18, 106호",경상남도 거제시 사등면 성포리 343-3 106호,2016-03-21,횟집,상수도전용,운영중,2021-03-04
2739,일반음식점,2016-03-21,쉼:마루,"경상남도 거제시 거제중앙로 1862-1, 1층 (고현동)",경상남도 거제시 고현동 80-7 ,2016-03-21,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2740,일반음식점,2016-03-21,홍익궁중전통육개장  거제장평점,"경상남도 거제시 장평로 35, 1층 (장평동, 대영빌딩)",경상남도 거제시 장평동 56-2 ,2018-06-21,한식,상수도전용,운영중,2021-03-04
2741,일반음식점,2016-03-23,홍콩반점0410 고현터미널점,경상남도 거제시 서문로 73 (고현동),경상남도 거제시 고현동 978-8 ,2016-03-23,중국식,상수도전용,운영중,2021-03-04
2742,일반음식점,2016-03-25,또먹분식 장평점,"경상남도 거제시 장평로10길 5, 1층 (장평동, 명가빌딩)",경상남도 거제시 장평동 313-6 ,2020-12-09,분식,상수도전용,운영중,2021-03-04
2743,일반음식점,2016-03-25,동서남북,"경상남도 거제시 능포로 130, 2층 (능포동)",경상남도 거제시 능포동 680-3 ,2017-06-02,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2744,일반음식점,2016-03-25,라벤더,"경상남도 거제시 일운면 지세포해안로 216, 2동 1층",경상남도 거제시 일운면 지세포리 323 ,2021-02-16,기타,상수도전용,운영중,2021-03-04
2745,일반음식점,2016-03-25,미쓰족발,"경상남도 거제시 사등면 두동로 44, 1층",경상남도 거제시 사등면 사곡리 산 57-2 ,2016-03-25,식육(숯불구이),상수도전용,운영중,2021-03-04
2746,일반음식점,2016-03-29,바릇,"경상남도 거제시 일운면 와현로 73, 지하1층",경상남도 거제시 일운면 와현리 339 ,2019-01-24,분식,상수도전용,운영중,2021-03-04
2747,일반음식점,2016-03-29,쌈싸먹자,"경상남도 거제시 거제중앙로 1811, 1층 (고현동)",경상남도 거제시 고현동 412-11 ,2016-05-30,한식,상수도전용,운영중,2021-03-04
2748,일반음식점,2016-03-29,롤롤,"경상남도 거제시 장평1로1길 24-3, 1층 (장평동)",경상남도 거제시 장평동 1195-60 ,2017-08-14,경양식,상수도전용,운영중,2021-03-04
2749,일반음식점,2016-03-29,해운대 속씨원한대구탕(거제점),"경상남도 거제시 거제중앙로 1763, 1층 1호 (상동동)",경상남도 거제시 상동동 442-2 ,2017-03-07,한식,상수도전용,운영중,2021-03-04
2750,일반음식점,2016-03-30,아지매김밥천국 장평점,"경상남도 거제시 장평로8길 10, 1층 (장평동)",경상남도 거제시 장평동 377-9 ,2016-03-30,김밥(도시락),상수도전용,운영중,2021-03-04
2751,일반음식점,2016-03-31,카페마루,"경상남도 거제시 일운면 지세포3길 69-17, 1층",경상남도 거제시 일운면 지세포리 1182-10 ,2017-11-06,정종/대포집/소주방,상수도(음용)지하수(주방용)겸용,운영중,2021-03-04
2752,일반음식점,2016-03-31,옥림자연산막썰어횟집,"경상남도 거제시 일운면 옥림길 113, 1층",경상남도 거제시 일운면 옥림리 297 ,2018-02-05,횟집,상수도전용,운영중,2021-03-04
2753,일반음식점,2016-04-04,하이샌드,경상남도 거제시 해명로4길 5 (수월동),경상남도 거제시 수월동 1055-4 ,2020-10-30,기타,상수도전용,운영중,2021-03-04
2754,일반음식점,2016-04-05,원빙고떡볶이(거제점),"경상남도 거제시 계룡로8길 22, 시드니빌 1층 (고현동)",경상남도 거제시 고현동 442 시드니빌 ,2016-04-05,분식,상수도전용,운영중,2021-03-04
2755,일반음식점,2016-04-05,콩시루,경상남도 거제시 거제중앙로5길 31 (상동동),경상남도 거제시 상동동 476-2 ,2018-06-14,탕류(보신용),상수도전용,운영중,2021-03-04
2756,일반음식점,2016-04-06,타이짬뽕 아주점,"경상남도 거제시 아주1로3길 24, 1층 (아주동)",경상남도 거제시 아주동 1698-9 ,2018-08-22,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2757,일반음식점,2016-04-07,불닭발땡초 동대문엽기떡볶이(아주점),"경상남도 거제시 아주로 30, 1층 (아주동, 누리빌)",경상남도 거제시 아주동 1699-15 ,2020-02-03,분식,상수도전용,운영중,2021-03-04
2758,일반음식점,2016-04-08,스시와 아주점,"경상남도 거제시 아주1로2길 62, 2층 (아주동, 명주빌딩)",경상남도 거제시 아주동 1683-2 ,2016-04-08,일식,상수도전용,운영중,2021-03-04
2759,일반음식점,2016-04-11,시골주막,"경상남도 거제시 사등면 거제남서로 5322-6, 1층",경상남도 거제시 사등면 덕호리 110-13 ,2016-04-11,정종/대포집/소주방,상수도전용,운영중,2021-03-04
2760,일반음식점,2016-04-12,신아리랑양꼬치,"경상남도 거제시 거제중앙로31길 6-1, 1층 (고현동)",경상남도 거제시 고현동 972-4 ,2019-12-02,식육(숯불구이),상수도전용,운영중,2021-03-04
2761,일반음식점,2016-04-12,막창도둑 고현점,"경상남도 거제시 거제중앙로23길 6, 1층 (고현동)",경상남도 거제시 고현동 961-139 ,2018-10-25,식육(숯불구이),상수도전용,운영중,2021-03-04
2762,일반음식점,2016-04-15,굽네치킨(중곡점),"경상남도 거제시 해명로4길 8, 301동 B층 106호 (수월동)",경상남도 거제시 수월동 1059 ,2019-10-07,호프/통닭,상수도전용,운영중,2021-03-04
2763,일반음식점,2016-04-15,고향맛집,"경상남도 거제시 고현로9길 5-1, 1층 (고현동)",경상남도 거제시 고현동 817-7 ,2020-06-23,한식,상수도전용,운영중,2021-03-04
2764,일반음식점,2016-04-15,땡이포차,"경상남도 거제시 옥수로10길 35, 2층 43호 (능포동, 옥수시장)",경상남도 거제시 능포동 645-10 옥수시장 2층43호,2020-11-20,정종/대포집/소주방,상수도전용,운영중,2021-03-04
