순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
1150,카페,두유라이크커피?,권태형,"경북 포항시 남구 동해면 호미로3192번길 92, 2층",구룡포대게거리,11:30~22:00,연중무휴,테이블 10개,,"주차하기도 편리하고 무엇보다 전경이 너무 좋고 다른 카페에 비해 가성비 좋은 커피를 판매하는 카페
수제청을 사용한 음료도 많고 티라미수 또한 유명한 카페입니다","중형,소형 주차장 완비",남녀구분,,,,,,,,,,,y,,y,y,129.4582774,35.99634705,,,,,,,,,,,,,,전망좋은맛집,"수제청우유케이크, 아몬드 티라미슈, 아메리카노, 바닐라시나몬라떼, 초코칩쉐이크, "
1151,,둘레길바베큐장,부이티튀후인,"경북 포항시 남구 오천읍 오어로154번길 30, 1층",오천오어사둘레길,10:00~20:00,연중무휴,40석,,"오어지 둘레길에 위치한 전망좋은 바베큐장입니다. 채소와 고기를 사오시면, 바베큐를 즐길수 있는 그릴음료수, 주류등을 제공합니다. 채소를 씻을수 있는 시설이 구비되어있어 편안하게 바베큐를 즐길 수 있습니다.  4인기준테이블 시간제한없이 4만원입니다. ",20대,"남녀구분, 장애우시설없음",,,,,,,,y,,,,,y,,129.3817461,35.92777075,,,,,,,,,,,,,,,"4인기준 시간 제한없이 4만원, "
1152,한식,들길 따라서,이창원,경북 포항시 남구 대이로159번길 11-3 (이동),이동음식일번지,10:00~21:00,매주 토요일,100석,,"보리밥과 청국장이 주메뉴. 
저희 청국장은 군내가 없이 단백하고 깊은 맛이 납니다. 청국장만 따로 포장한 단품도 판매량이 많은 편입니다.
국산콩으로 띄운 청국장과 된장 그리고 지역 농산물로 정갈한 한식 밥상을 차려 드립니다. 
제공되는 반찬은 매일 만들며 국산 재료로 직접 만든 고추장에 여러 반찬을 넣어 비벼 드시면 맛도 영양도 만점인 한끼 집밥이 됩니다.
여름철 메뉴인 콩국수도 국산콩만 사용합니다.",전용 주차장 15대,남녀구분,,,,,,,,y,,y,y,,y,y,129.3386782,36.02870218,,,,,,,,,,,,,,,"청국장, 순두부찌개, 된장찌개, 파전, 묵무침, "
1153,한식,등촌샤브칼국수,김동률,"경북 포항시 남구 대이로143번길 5-1, 1층 (이동)",이동음식일번지,11:00~21:30,매주 월요일,124석,,"손님 상에 오르는 모든 야채는 농장 직거래를 통해 당일 공급합니다. 최고 품질의 엄선된 등심부위로 소고기 샤브샤브를 냅니다. 별미 볶음밥도 즉석에서 맛보세요.
순발력 있는 젊은 직원들의 센스 있는 서비스는 손님께 편안함과 만족을 드립니다.",전용주차장 20대,남녀구분,,,,,,,,y,,y,y,,y,y,129.3398228,36.02753368,,,,,,,,,,,,,,,"소고기샤브+버섯칼국수+볶음밥, 석쇠불고기, 물만두, "
1154,,디오션(펜션),이희돈,"경북 포항시 북구 흥해읍 해안로1732번길 24, 1층",설머리물회오도리해안길,,,,,,,,,,,,,,,,,,,,,,129.3972642,36.15629441,,,,,,,,,,,,,,,
1155,일식,뚱보초밥,김소경,"경북 포항시 남구 대이로 47, 1층 (대잠동)",,"11:30~14:00, 17:00~20:00",매주 일요일,40석,,"오노쉐프가 운영하는 뚱보초밥입니다
제철 생선으로 맛있는 초밥을 정성껏 요리합니다
항상 싱싱한 횟감으로 여러분께 보답하겠습니다
가게에 꼭 놀러와주세요.",3대,남녀공용,,,,,,,,y,,,y,y,y,y,129.341351,36.01951038,,,,,,,,,,,,,,,"초밥코스요리(A코스), 초밥코스요리(B코스), 초밥요리코스(S코스), 초밥요리코스(R코스), 장어구이, 전복버터구이, "
1156,기타,뚱이네포차,장영희,"경북 포항시 남구 구룡포읍 호미로 215-2, 2층",구룡포대게거리,10:00~19:00,연중무휴,36석,,"아구탕과 아구찜으로 소문난 맛집. 아구요리만큼은 최고라고 자부합니다. 
대게 볶음밥과 특미인 대게라면도 아주 맛있게들 드시는 메뉴입니다.",공영주차장(무료),남녀공용,,,,,,,,y,,,y,y,,y,129.5547286,35.9898,,,,,,,,,y,,,,,,"대구머리튀김, 대구뽈찜, 아구수육/ 아구찜, 아구탕/ 매운탕, 돼지두루치기+두부, 두부김치, "
1157,,뜨락,임연,"경북 포항시 북구 청하면 해안로 1989, 1층",설머리물회오도리해안길,,,,,"우리 식당은 모든 음식이 엄마가 해 주시는 집밥같은 포근함이 있는 음식입니다. 
갈비탕과 육개장이 인기가 많으며 들어가는 채소들은 직접 길러서 사용합니다.",승용차 10대,남녀구분,,,,,,,,y,,,y,,,,129.3901999,36.17843015,,,,,,,,,,,,,,,"한방 닭백숙, 한방 오리백숙, 육개장, 불뚝배기, 갈비탕, 육개장, "
1158,카페,라붐,김해숙,경북 포항시 북구 흥해읍 해안로 1777-7,설머리물회오도리해안길,11:00~21:00,월요일 매주,테이블 10개,,분홍색으로 이루어진 라붐,공용주차장 완비,남녀구분,,,,,,,,y,,,y,,y,y,129.3971957,36.16093856,,,,,,,,,,,,,,전망좋은맛집,"에스프레소, 아메리카노, 카페라떼, 섬머베리/페퍼민트/캐모마일, 레몬/청포도/베리 에이드, 말차라떼, 생딸기/복숭아 우유, 생딸기/복숭아 우유, "
1159,기타,란나타이(Lanna Thai),김정애,"경북 포항시 남구 대이로 51 (대잠동, 1층)",,11:30~22:00,연중무휴,40석,,"저희집은 태국음식점 전문점입니다
태국음식을 잘 모르는 사람도 메뉴판에 설명이 잘 되어있어 주문하기 쉽습니다
주방에는 현지인들이 상주해 있어서  태국의 맛을 느낄수 있는 곳입니다
꼭 방문하셔서 이국적인 태국의 정취를 만나보시기 바랍니다.",6대,남녀구분,,,y,,,,,y,,y,y,,y,y,129.3410987,36.01980795,,,,,,,,,,,,,,,"뽀삐아, 톳만꿍, 꿍홈파, 까베앙 씨푸드, 깽가리가이, 깽펫느아, "
1160,카페,루시구시,신선희,"경북 포항시 남구 대이로159번길 6-4, 1~3층 (이동)",이동음식일번지,11:00~23:00,연중무휴,100석,,"포항에서 브런치 맛집으로 잘 알려진 저희 카페는 3층 전체가 카페입니다.
아메리칸브런치가 유명하며 그 외 리코타치즈샐러드, 불고기파니니가 주로 많이 나갑니다. 
이에 곁들이는 커피는 직접 매장에서 로스팅해서 신선하고, 좋은 품종의 원두만을 선별하여 맛 또한 일품입니다.
맛, 분위기, 가격 모두 만족하실 수 있는 포항의 대표 카페입니다.",전용주차장,남녀구분,,,y,,,,,y,,y,y,y,y,y,129.3389861,36.02934705,,,,,,,,,,,,,,,"아메리칸브런치, 불고기파니니, 아몬드고르곤피자, 리코타치즈샐러드, 루시구시크로플 2조각, "
1161,정육식당,류씨화로,류시만,경북 포항시 남구 대이로175번길 12-7 (이동),이동음식일번지,12:00~22:00,매주 일요일,76석,,"한우 차돌박이와 육회, 한우 소찌개가 맛있는 집. 
인기 메뉴인 뽕잎이 들어간 생삼겹살. 1등급 이상만 쓰는 한우 갈비살. 모두 주인이 직접 손질합니다.
배달 메뉴로는 삼겹살구이, 제육볶음, 냉면이 잘 나갑니다.",4대,남녀구분,,,y,,,,,y,,y,y,y,y,y,129.3374184,36.03042315,,,,,,,y,,,,,,,,"한우갈비살, 한우차돌박이, 한우소찌개, 한우육회(200g), 제육볶음, 뽕잎생삼겹, 눈꽃삼겹살, "
1162,중식,리밍 차이나,이상기,"경북 포항시 남구 대이로159번길 12, A동 (이동)",이동음식일번지,11:30~21:00,연중무휴,120석,,"신선한 재료로 만든 14가지 중화요리를 뷔페로 드실 수 있는 맛집 . 
음식의 종류는 1주일에 3번씩 바뀝니다. KBS 생생정보에 출연한 맛집이며 배달 전문 업소이기도 합니다.
단품 메뉴도 맛있어서 많이들 찾으십니다. 특히 주방장의 추천 메뉴인 전가복은 저희집 대표 메뉴로 소문난 음식입니다.",전용주차장 50대,남녀구분,,,y,,,,,y,,y,y,y,y,y,129.3379411,36.02907182,,,,,,,,,,,,,,,"중화요리뷔페, 전가복, 게살삭스핀, 기아해삼, 송이전복 , 고추잡채, 삼선누룽지탕, 동파육, "
1163,카페,리페인트,김지범,경북 포항시 북구 청하면 해안로 1884-1,설머리물회오도리해안길,11:00~19:00,휴무 연중무휴,테이블 6개,,"뷰가 무지 예쁜 커피숍입니다. 젊은층이 주로 많이 오며 샌드위치로 식사를 대신 할 수 있습니다.
에이드 종류가 가장 인기가 많습니다.",승용차 10대,남녀구분,,,,,,,,,,,,,,,129.3969332,36.1706831,,,,,,,,,,,,,,전망좋은맛집,"크로크무슈, 브라우니, 치즈케이크, 아메리카노, 청진 바다에이드, 카페라떼, 쑥인절미 아포카토, "
1164,,린도(펜션),방예슬,"경북 포항시 북구 흥해읍 해안로1732번길 44-3, 1층",설머리물회오도리해안길,,,,,,,,,,,,,,,,,,,,,,129.3985537,36.15451889,,,,,,,,,,,,,,,
1165,카페,마리스커피,박미정,"경북 포항시 남구 구룡포읍 호미로 243, 2층",구룡포대게거리,11:00~22:00,첫째 셋째 화요일,44석,,"신선한 원두를 매일 소량으로 받아 작업해 커피향이 아주 좋습니다. 2층 창밖으로 보이는 바다와 선착장의 배들이 그림 같은 정경입니다.
커피 한 잔만으로도 행복할 수 있는 저희 카페에 오셔서 행복한 시간 누리세요.",공영주차장(무료),남녀구분,,,,,,,,y,,y,y,,y,y,129.5569631,35.99127958,,,,,,,,,,,,,,,"아메리카노, 카페라떼/카푸치노, 바릴라라떼/헤이즐라떼, 카라멜마끼야또/돌체라떼, 썸머라떼/아보카도/코코아스무디, 핫초코/녹차라떼/토피넛라떼/고구마라떼(겨울), 딸기퐁당/퐁쉐이크/토마토생과일주스/키위생과일쥬스, 딸기요거트스무디/블루베리요거트스무디/망고스무디, 자몽주스, 레몬에이드/자몽에이드/블루레몬에이드/청포도에이드, 케모마일/페퍼민트/홍차, "
1166,정육식당,마이땅곱창,김미화,경북 포항시 남구 대이로127번길 5 (이동),이동음식일번지,16:00~24:00,연중무휴,72석,,"차별화된 비법소스와 데코레이션. 세척 및 손질 과정을 여러 단계로 세분화하여 깔끔하게 관리하는 것이 저희 매장의 장점입니다.
셀프바도 무료로 이용. 간과 천엽도 무료로 제공해 드립니다. 
1차 초벌구이 후 소스를 바르고 구워 맛이 더 좋습니다. 입식, 좌식 좌석이 골고로 갖춰져 있습니다.",5대 가능,남녀구분,,,,,,,,y,,,y,y,y,y,129.3401026,36.02637864,,,,,,,y,,,,,,,,"곱창모둠, 곱창구이, 막창구이, 대창구이, 차돌곱창전골, 염통, 차돌박이, "
1167,물회,만물포차,김양익,"경북 포항시 남구 구룡포읍 호미로 193-2, 1층",구룡포대게거리,16:00~24:00,둘째 주 월요일,16석,,"참치, 새우튀김, 고동구이, 고동회가 인기메뉴. 특히 저희 집의 노하우로 더 맛있게 내는 새우튀김과 활어로 요리되는 고동구이는 드시는 손님들 모두 감탄해 마지않습니다.
저희 가게를 홍보  해 주신 모든 손님들께 진심으로 감사드립니다.",공영주차장(무료),남녀구분,,,,,,,,y,,,y,,,y,129.5527468,35.98875386,y,y,,y,,,,y,,,,,,,"참치, 활새우, 새우튀김, 고동회/고동구이/고동찜, 가리비찜, 전복구이/전복회, 낙지/멍게, 미주구리구이, "
1168,정육식당,맛있는고집,이재수,"경북 포항시 남구 대이로127번길 6-10, 1층 (이동)",이동음식일번지,15:00~22:00,연중무휴,15석,,"저희 집은 특허 출원한 프리미엄 숙성으로 특별한 고기맛을 자랑합니다.
고기가 정말 맛있는 집입니다.",5대,남녀구분,,,,,,,,y,,y,y,y,y,y,129.3400105,36.02704744,,,,,,,y,,,,,,,,"발효숙성삼겹살, 발효숙성목살, 발효숙성양념목살, 발효숙성양념삼겹살, 고집숙성삼겹살, 고집숙성양념삼겹살, "
1169,한식,망우찜쌈밥,이자은,경북 포항시 남구 대이로95번길 9 (대잠동),,11:00~21:30,명절,80석,,"신선한 유기농 특수 야채와 찜야채를 주인이 직접 띄운 강된장과 함께 드실 수 있는 건강 쌈밥집입니다.
10여 가지의 신선한 야채를 삼겹살, 우삼겹살, 오리, 고등어 구이와 함께 푸짐하게 올립니다. 
다양한 규모의 개별룸이 있어 단체 손님들도 많이 오십니다.",13대,남녀구분,,,y,,,,,y,,,y,y,y,y,129.339564,36.02342478,,,,,,,,,,,,,,,"삼겹쌈밥, 생오겹쌈밥, 우삼겹쌈법, 로스오리쌈밥, 훈제오리쌈밥, 양념불고기쌈밥, "
1170,카페,메가커피(포항시청점),윤미영,"경북 포항시 남구 대이로 50, 1층 (대잠동)",,09:00~22:00,연중무휴,25석,,"한끼식사인 간단한 빵종류가 다양하며 포장도 가능합니다
다양한 음료와 커피도 맛있습니다
항상 친절하게 응대하며 위생에도 철저합니다
편안한 분위기에서 브런치를 즐길수 있어 특별한 공간입니다.",주변공영주차장,남녀공용,,,,,,,,y,,y,y,,y,y,129.3416141,36.01983419,,,,,,,,,,,,,,,"크로크무슈, 허니 브레드, 핫도그, 치즈케이크, 초코무스 케이크, "
1171,한정식,메밀꽃,김보경,"경북 포항시 남구 대이로83번길 9-9, 1층 (대잠동)",,11:30~21:00,매주 일요일,40석,,"양구 시래기로 차려내는 시래기 밥상.
천연 조미료만을 사용해  정갈한 집밥을 맛볼 수 있습니다. 
국내산 홍어로 내는 홍어삼합은 한 번 드신 분이라면 매번 찾으십니다.
여름철 메뉴인 막국수는 순메밀 100%로 만들어 고소하면서 메밀의 풍미를 느낄 수 있습니다.",전용 6대,남녀구분,,,,,,,,y,,y,,,y,y,129.3396529,36.02186288,,,,,,,,,,,,,,,"시래기밥정식, 메밀전, "
1172,분식,명랑시대쌀핫도그,강필연,"경북 포항시 남구 구룡포읍 호미로 253-3, 1층",구룡포대게거리,10:30~21:00,연중무휴,,,"-늘 건강한, 늘 정직한, 모두가 행복한-이라는 슬로건으로 사회공헌도 하는 정직한 프렌차이즈 기업입니다.
주 재료가 쌀이고 매일 발효 숙성한 반죽으로 주문 즉시 만들어 드립니다.  남녀 노소 누구나 즐길 수 있는 다양한 메뉴가 준비돼 있습니다.
맛있는 웰빙 핫도그를 배달과 테이크아웃으로 파는 매장입니다.",공영주차장(무료),사용불가,,,,,,,,y,,,y,y,y,y,129.5581774,35.99137386,,,,,,,,,,,,,,,"치즈폭탄세트, 명랑한세트, 휴게소세트, 따따블치즈핫도그, 쫀달치즈볼, 불닭치스소떡소떡/고구마통모짜핫도그/감자통모짜핫도그, 모짜맵구마핫도그/감자핫도그/모짜체다핫도그, 숯불갈비맛핫도그/통모짜핫도그, 체다치즈핫도그/명랑점보핫도그/매운점보핫도그/모짜렐라INTHE핫도그, "
1173,정육식당,명륜진사갈비(이동점),함명희,"경북 포항시 남구 대이로159번길 22, 1층 (이동)",이동음식일번지,"17:00~21:30, (주말 및 공휴일 12:00~)",연중무휴,136석,,"저렴한 가격으로 숯불 돼지갈비를 무한리필로 맘껏 드실 수 있습니다. 
저렴하게 드실 수 있는 국산 한돈 돼지갈비도 인기있는 메뉴입니다. 
단체 회식하기 좋은 곳입니다.",가게 전면 5대,남녀구분,,,y,,,,,,,y,,,y,y,129.3372235,36.02880651,,,,,,,,,,,,,,,"명륜진사갈비 무한리필, 수제 한돈돼지갈비, 소갈비살, 돼지껍데기, "
1174,한식,명성곰탕,황수현,"경북 포항시 남구 구룡포읍 호미로221번길 34-1, 1층",구룡포대게거리,06:00~20:00,연중무휴,18석,,"곰탕 전문집으로 23년차. 7~8시간 가마솥에 전통방식으로 고아 잡내없고 맛있는 곰탕집으로 소문난 집
멸치, 새우, 꽁치 등 모든 종류의 젓갈을 직접 담그고 담근 젓갈로 다대기 외 반찬의 맛을 내 입맛 까다로운 손님들이 단골인 맛집입니다.",가게앞4대/공영주차장(무료),남녀공용,,,,,,,y,y,,y,y,y,,y,129.5516828,35.98857497,,,,,,,,,,,,,,,"소머리곰탕, 특소머리곰탕, 소머리수육, "
1175,횟집,모모식당,김언형,경북 포항시 남구 구룡포읍 호미로 245-31,구룡포대게거리,09:30~21:00,연중무휴,50석,,"3대를 이어오는 맛집.  경북의 맛집으로 지정돼 있습니다. 
단일 품목인 고래고기만 취급하는 밍크고래고기 전문점입니다. 포항에 고래고기를 대중화시키는 데 기여해 왔습니다.
대표적 메뉴로 고래수육, 고래육회, 고래전골, 고래국밥 등이 있습니다. 손님들이 특히 선호하는 메뉴는 고래 불고기입니다.",10대,남녀구분,,,y,,,,y,y,,,y,,y,y,129.5569257,35.99166238,y,y,,y,,,,,,,,,,3대맛집,"고래수육, 고래육회, 고래불고기, 고래전골/ 고래국밥, 대게, 성게알, "
1176,한식,못된쭈꾸미,김명숙,"경북 포항시 남구 대이로46번길 3-7, 1층 (대잠동)",,10:00~21:00,연중무휴,13석,,"저희집은 쭈꾸미 전문점입니다
각종 양념과 밑반찬을 직접 만들어 손님들이 좋아하십니다
쭈꾸미는 피로회복 항암효과에도 뛰어나며 영양가도 높습니다
언제나 친절과 맛으로 승부를 걸겠습니다.",가게앞3대 시청공영주차장,남녀구분,,,y,,,,,y,,,y,y,y,y,129.3417271,36.02000299,,,,,,,,,,,,,,,"쭈꾸미 볶음(1인), 쭈꾸미 전골(1인), 쭈꾸미 삼겹(1인), 쭈꾸미 볶음+도토리전+우동사리+밥(1인기준), "
1177,양식,무드다이닝(Mood dining),이대훈,"경북 포항시 남구 대이로95번길 9, 2층 (대잠동)",,11:30~21:30,매주 월요일,44석,,"파스타, 스테이크 전문점.
한식,양식, 중식, 일식, 복어, 제과, 제빵. 7개 분야의 자격을 모두 보유한 요리 경력 12년의 20대 청년 조리장이 만듭니다.
모든 종류의 음식을 두루 다 섭렵해 재료와 조리법의  특성을 더욱 잘 알기에 최고의 맛을 낸다고 자부합니다. 
직접 만든 소스양념으로 조리합니다.  스테이크, 브레드샐러드, 새우로제파스타가 가장 잘 나가며 특별한 맛으로 인정받는 인기 메뉴입니다.
원형과 곡선이 두드러진 화이트 톤의 실내 인테리어와 소품은 은은한 조명과 어우러져 부드러운 편안함과 감성 충만한 식사 시간을 선물합니다. 
인스타 뷰 맛집으로 유명한 그 집.",12대,남녀구분,,,y,,,,,,,,y,,y,y,129.339564,36.02342478,,,,,,,,,,,,,,,"베이컨크림파스타, 해물토마토파스타, 볼로네제파스타, 새우로제파스타, 토마토새우오일파스타, 봉골레오일파스타, 해산물오일파스타, 차돌오일파스타, 포치니크림리조또, 무드다이닝스테이크, "
1178,한식,무봉리순대국,이한서,"경북 포항시 남구 대이로159번길 3 (이동,(1층))",이동음식일번지,11:00~21:00,명절,60석,,순대 매니아라면 다 아시는 맛집. 전골에서 철판 볶음까지 맛있는 순대가 골고루 있습니다. 기본 메뉴이면서 가장 인기 있는 순대국은 많은 분들이 부담없이 즐기십니다.,공영주차장(유료),남녀구분,,,,,,,,y,,,y,,,y,129.33915,36.02896192,,,,,,,,,,,,,,,"토종순대전골, 토종모둠순대, 철판볶음, 토종순대국, 찰순대, 토종순대, "
1179,중식,뮬란,강남숙,"경북 포항시 북구 대이로 188 (득량동,(2층))",,11:00~20:00,둘째.넷째 일요일,50석(공용),,"이동 이마트 2층에 있으며.매뉴가 중식입니다.
짜장면.짬봉.볶음밥.탕수육.볶음짜장.등 다양한 매뉴가 있습니다.
정성을 다해 친절히 모시겠습니다.",이마트 주차장,남녀구분(장애인화장실0),,,,,y,,,y,,,,,,,129.339042,36.03177865,,,,,,,,,,,,,,,"짱장면, 짬뽕, 볶음밥, 탕수육, 해물볶음짜장(1인), 볶음짬봉, "
1180,횟집,미강,정상학,경북 포항시 북구 해안로 381,설머리물회지구,10:00~22:00,연중무휴,76석,,"풍경좋은 바다를 한눈에 담으며 신선한 회를 맛보실수 있는 미강횟집입니다
포항에서 최초로 신선한 연어활어를 입하해 아시는 분들은 꼭 저희집을 방문하십니다
초심을 잃지 않는 마음으로 이어나가며 신선하고 맛있는 회를 대접해드리겠습니다.",5대,남녀구분,,,,,,,,y,,,y,,y,y,129.4001453,36.06882864,y,,,y,,,,,,,,,,전망좋은맛집,"미강스페셜(해물+물회+초밥)4인기준, 자연산(특대)5인, 자연산(대)4인, 자연산(중)3인, 자연산(소)2인, "
1181,기타,미스터피자 대이점,박정환,"경북 포항시 남구 대이로 112 (대잠동,(2층))",,11:00~22:00,연중무휴,46석,,"대한민국 토종NO1피자 브랜드 업체입니다
신선한 재료로 풍부한 토핑으로 최고의 맛과 서비스를 제공해 드립니다
늘 위생에 신경을 쓰는 믿을 수 있는 음식점입니다
내점 방문손님, 배달포장손님 모두 만족하실수 있도록 최선을 다하겠습니다.",건물뒤 공영주차장,남녀구분,,,,,,,,y,,y,y,y,y,y,129.3411894,36.02505584,,,,,,,,,,,,,,,"미스터 트리오피자-노엣지(R), 미스터 트리오피자-골드(L), 포테이토-골드(R), 포테이토-골드(L), 고르곤졸라(R), 고르곤졸라(L), 불고기피자(R), 불고기피자(L), "
1182,카페,미하스카페,진영종,"경북 포항시 북구 해안로445번길 20-5, 1,2층 (환호동)",여남카페거리,10:00~23:00,연중무휴,50석,,"영일만의 바다뷰가 멋진곳입니다.
테이블간 간격도 아주 넓습니다.질 좋은 원두만 사용하고 있습니다.
 로스터리 카페이고.집에서 직접만든 수제청을 사용하여 음료를 제조합니다.
친절한 종업원과.깨끗한 환경이 저희집의 자랑입니다.
",4,남녀구분,,,,,,,,y,,y,y,,y,y,129.4049178,36.07390913,,,,,,,,,,,,,,전망좋은맛집,"허니 버터 브레드, 녹차롤, 당근 생크림, 얼그레이롤, "
1183,카페,바다카페,최선희,"경북 포항시 남구 송도해안길 12, 1층 (송도동)",송도카페문화거리,10:00~22:00,연중무휴,테이블 7개,,"송도바닷가 끝자락에위치한 알록달록한
인테리어에 아늑한분위기를 가진곳입니다
바다앞조경을보며 쉬어가기 좋은곳입니다",공영주차장,남녀구분,,,,,,,,,,,y,,y,y,129.3817006,36.03234387,,,,,,,,,,,,,,전망좋은맛집,"에스프레소, 아메리카노, 카라멜라떼, 카라멜 카페라떼, 카라멜 마끼야또, 카페모카, 카푸치노, 녹차라떼, 초코라떼,바닐라라떼,민트모카,민트초코라떼, 로즈플라워에이드, 자몽에이드.레몬에이드.블루에이드.허니코코망고에이드, 복숭아 아이스티, 딸기쥬스 키위쥬스 바나나쥬스 토마토쥬스 애플쥬스, "
1184,분식,바르다 김선생 포항이동점,서현지,"경북 포항시 남구 대이로 105, 1층 105호 (대잠동, 아이코아)",,10:00~14:00,매주 일요일,12석,,"좋은 재료로 정성껏 만드는 프랜차이즈 깁밥집입니다
깁밥 이외에도 다양한 분식 및 식사가 가능합니다
늘 고객의 입장에 서서 위생적이고 맛있는 음식을 제공하도록 노력하겠습니다.",건물주차장3대,남녀구분,,,,,,,,,,,,,,,129.3406801,36.02450635,,,,,,,,,,,,,,,"바른 김밥, 매콤 장아찌 김밥, 크림치즈 호두 김밥, 매운 멸치 김밥, 돈가스 김밥, "
1185,한식,밥나들이,서동혁,"경북 포항시 남구 대이로46번길 7, 1층 (대잠동)",,11:00~20:30,매주 일요일,72석,,"저희 가게에서 요리하는 재료들은 산지에서 직접 공급해옵니다
다양한 메뉴들이 있어 골라 먹는 재미가 있습니다
특히 위생에 신경쓰는 깔끔쟁이 가게입니다
집밥이 그리운 분들은 꼭 ""밥나들이""로 오세요.",시청공영주차장,남녀공용,,,y,,,,,y,,,y,y,,y,129.342327,36.01990946,,,,,,,,,,,,,,,"울릉도 산채비빔밥, 한우 국밥, 제육비빔밥, 오삼불고기(2인이상), 오징어 볶음(2인이상), 순두부찌개, 김치찌개(2인이상), 된장찌개(2인이상), "
1186,한식,밥도둑,최선희,"경북 포항시 남구 대이로5번길 4, 1층 (대잠동)",,11:00~재료소진시까지,"일요일, 공휴일",45석,,"두루치기 전문점으로 삼겹살에 오징어, 삼겹살에 김치가 들어가고 여러가지 야채와 양념이 어우러져 매콤달콤한맛이 일품입니다 
싱싱한 상추위에 두루치기한 돼지고기와 오징어를 올리고 고추, 마늘과 함께 쌈을 싸 먹으면 스트레스가 확 사라지는 꿀맛의 조합이라고 합니다 
날마다 신선한 재료로 음식을 만들기 때문에 한번 오신 분들은 잊지않고 감사하게 또 찾아오십니다.",주변 공영주차장,남녀구분,,,,,,,,y,,,y,,,y,129.3436863,36.01629152,,,,,,,,,,,,,,,"짬(삼겹살 &amp; 오징어 철판두루치기), 김짬(삼겹살 &amp; 김치 철판두루치기), "
1187,물회,백경수산,이영준,경북 포항시 남구 구룡포읍 호미로 217,구룡포대게거리,11:00~재료소진시까지,연중무휴,100석,,"전통물회의 본가. 동종업계에 전통물회의 비법을 꾸준히 전수시켰습니다.
박달 대게와 자연산 회를 취급.  갓 잡아 손질한 싱싱한 자연산 회에는 화학조미료를 일절 넣지 않으며 단맛도 과일로 냅니다.
회를 포함해 일반 메뉴의 밑반찬으로 올리는 목이버섯, 방풍나물, 새우, 백고동 등은 모두 자연산 웰빙음식들입니다.",공영주차장(무료),남녀구분,,,,,,,,y,,y,y,,y,y,129.5547932,35.98984313,y,y,,y,,,,,,,,,,,"모둠회, 광어/우럭, (자연산)참돔/농어/ 도다리/이시가리/참가자미, 박달대게/홍게, 대게탕/물메기탕, 과메기, (식사류)생아구탕/생우럭탕, 참가자미물회/오징어물회/전복물회, 물회/회덮밥, 모리국수, "
1188,정육식당,백록담 이동점,허숙희,경북 포항시 남구 대이로127번길 20 (이동),이동음식일번지,18:00~02:00,연중무휴,52석,,"백록담 요리 10여 년 경력이라 늘 일정한 맛을 유지합니다. 백록담의 모든 메뉴를 하기 보단 손님들이 많이 찾으시는 인기 메뉴에 집중해서 정성들여 조리해 드립니다.
손님들이 좋아하시는 샐러드도 푸짐하게 드립니다. 앞으로도 늘 손님들의 요구에 관심을 기울여 최고의 서비스를 하도록 노력하겠습니다.",10대,남녀구분,,,,,,,,,,,y,y,y,y,129.3386495,36.02621121,,,,,,,,,,,,y,,,"매콤한양념바베큐, 웰빙마늘간장바베큐, 담백한소금구이, 스페셜빅세트, 감자튀김, 오뎅탕, "
1189,한식,백참&amp;두찜(포항이동점),최미영,"경북 포항시 남구 대이로59번길 5-7, 1층 (대잠동)",,10:30~22:30,연중무휴,12석,,"저희가게는 3가지 ""참""을 담아 정성껏 만듭니다
참 재료, 참 정성, 참 자람
귀한 재료에 깊은 정성을 담아 요리하고 있습니다
가성비 좋은 가격으로 고객님들의 마음을 찜하는 가게입니다.",4대,남녀구분,,,,,,,,y,,,y,y,y,y,129.3408843,36.01978502,,,,,y,,,,,,,,,,"참능이 닭백숙(단품), 참능이 닭백숙(한상차림), 참능이  오리백숙(단품), 참능이 오리백숙(한상차림), 능이 닭반마리 칼국수, 닭볶음탕, "
1190,기타,베이킹스튜디오수(BakingStudioSoo),장수연,"경북 포항시 남구 대이로 105, 아이코아 1층 102호 (대잠동)",,11:00~재료 소진시까지,"매주(토,일요일)",4석,,"화학첨가제 없이 유기농 밀가루, 천연발효종, 100%우유버터등 좋은 재료로 만듭니다
항상 맛과 건강을 생각하는 빵집입니다
빵과 케익을 만드는 즐거움으로 가게를 운영하고 있으니 많이 찾아와 주시면 감사하겠습니다.",건물뒷편 주차장,남녀구분,,,,,,,,y,,,y,y,y,y,129.3406801,36.02450635,,,,,,,,,,,,,,,"치아바타, 시오빵, 탕종우유식빵, 아몬드 페스츄리, 치즈 파운드, 트로피컬무스, "
