연번,업소명,소재지,위도,경도,지역,지정등급,지정번호,지정일자
262,샤브향 남산점,"부산광역시 금정구 금샘로 533(1,2층 남산동)",35.26990635,129.0850073,좋음,HG200000080,부산광역시 금정구,2020-01-15
263,본도시락,부산광역시 동래구 충렬대로 184(1층 명륜동),35.20344907,129.0798165,좋음,HG200000117,부산광역시 동래구,2020-01-22
264,주식회사 더파티 더파티 시청점,"부산광역시 연제구 중앙대로 1000(연산동,국민연금빌딩 2층)",35.17785982,129.0756461,매우우수,HG200000146,부산광역시 연제구,2020-01-22
265,던킨도너츠 부산반여점,"부산광역시 해운대구 선수촌로 78(반여동, 다솜빌딩 1층)",35.20063777,129.1193568,매우우수,HG200000175,부산광역시 해운대구,2020-01-22
266,김밥천국,"부산광역시 북구 효열로 275(금곡동, 1층)",35.26719656,129.0183462,좋음,HG200000290,부산광역시 북구,2020-01-29
267,교촌치킨 온천점,부산광역시 동래구 아시아드대로 212-1(1층 온천동),35.20297098,129.0666539,매우우수,HG200000316,부산광역시 동래구,2020-01-30
268,이삭토스트,부산광역시 부산진구 당감로 52(당감동),35.16638893,129.039117,좋음,HG200000319,부산광역시 부산진구,2020-01-30
269,농가의 하루,부산광역시 금정구 금샘로 335(A동 1-2층 구서동),35.25335292,129.0844677,매우우수,HG200000320,부산광역시 금정구,2020-01-30
270,금정시골추어탕,부산광역시 금정구 금샘로 431(1층 구서동),35.26154989,129.0840825,좋음,HG200000328,부산광역시 금정구,2020-01-30
271,아마스 빈,"부산광역시 부산진구 중앙대로692번길 26(부전동,1층)",35.15433972,129.060651,좋음,HG200000333,부산광역시 부산진구,2020-01-30
272,메가엠지씨커피 부산낙민점,"부산광역시 동래구 온천천로339번길 51(202동 1층 24호 낙민동, 동래꿈에그린 아파트)",35.19659937,129.0907727,우수,HG200000373,부산광역시 동래구,2020-02-04
273,이디야부산낙민점,"부산광역시 동래구 안남로 32(A동 2,3호 낙민동)",35.19417614,129.0955937,매우우수,HG200000377,부산광역시 동래구,2020-02-04
274,cheek to cheek(칙투칙),부산광역시 동래구 온천천로441번길 17(1층 안락동),35.19246414,129.1014782,우수,HG200000387,부산광역시 동래구,2020-02-04
275,트레이더스베이커리서면점,"부산광역시 부산진구 시민공원로 31(지하1층 부암동, 이마트트레이더스서면점)",35.1639021,129.0525537,매우우수,HG200000389,부산광역시 부산진구,2020-02-04
276,본도시락부산대점,부산광역시 금정구 금정로 86(장전동),35.23220219,129.0869652,좋음,HG200000391,부산광역시 금정구,2020-02-04
